"CVE\ML tool (dep, attack, cvss3 score)",notebook,jupyter-server,jupyerhub,jupyterlab,pyspark,pandas,numpy,nltk,protobuf,,dos,buffer-overflow,null pointer dereference,code-execution,csrf,xss,user-impersonation,cleartext-storage,inefficient-regex-complexity,open-redirect,cross-site-inclusion,command-execution,directory-transversal,symlink-attack,
CVE-2021-43854,,,,,,,,"(this, re-dos, high)",,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
CVE-2021-41496,,,,,,,"(this, buffer-overflow -dos, high)",,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
CVE-2021-41495,,,,,,,"(this, null-pointer- dereference, high)",,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
CVE-2021-41247,,,"(this, insufficient -session-expiration, high)",,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CVE-2021-3842,,,,,,,,"(this, inefficient -regular -expression -complexity, high)",,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
CVE-2021-3828,,,,,,,,"(this, inefficient -regular -expression -complexity, high)",,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
CVE-2021-34141,,,,,,,"(this, incorrect -string-comparison, medium)",,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CVE-2021-33430,,,,,,,"(this, buffer -overflow, high)",,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
CVE-2021-32798,"(this, cross-site -scripting, high)",,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
CVE-2021-32797,,,,"(this, cross-site -scripting, critical)",,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
CVE-2020-9480,,,,,"(this, shell- command- execution, critical)",,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
CVE-2020-36191,,,"(this, csrf, medium)",,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
CVE-2020-26275,,"(this,  open-redirect, medium)",,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
CVE-2020-26232,,"(this,  open-redirect, medium)",,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
CVE-2020-26215,"(this,  open-redirect, medium)",,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
CVE-2020-13091,,,,,,"(pickle,  arbritary-code -execution, critical)",,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
CVE-2019-9644,"(this, cross-site -inclusion,  medium)",,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
CVE-2019-6446,,,,,,,"(pickle,  arbritary-code -execution, critical)",,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
CVE-2019-14751,,,,,,,,"(this, directory -transversal, high)",,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
CVE-2019-10856,"(this,  open-redirect, medium)",,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
CVE-2019-10099,,,,,"(this, cleartext -storage, high)",,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
CVE-2018-8768,"(this, js-code-execution,  high)",,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
CVE-2018-21030,"(this, cross-site -scripting, medium)",,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
CVE-2018-19352,"(this, cross-site -scripting, medium)",,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
CVE-2018-19351,"(this, cross-site -scripting, medium)",,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
CVE-2018-1334,,,,,"(this, user- impersonation, medium)",,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
CVE-2018-11760,,,,,"(this, user- impersonation, medium)",,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
CVE-2017-12852,,,,,,,"(this, dos, high)",,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
CVE-2015-7337,"(this, arbritrary-code -execution, medium)",,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
CVE-2015-6938,"(this, cross-site -scripting, medium)",,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
CVE-2015-5237,,,,,,,,,"(this, heap- buffer-overflow, high)",,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
CVE-2014-1859,,,,,,,"(this, symlink-attack, medium)",,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
CVE-2014-1858,,,,,,,"(this, symlink-attack, medium)",,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
,,,,,,,,,,,3,3,1,4,1,6,2,1,2,4,1,1,1,2,Total
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,dos,buffer-overflow,null pointer dereference,code-execution,csrf,xss,user-impersonation,cleartext-storage,inefficient-regex-complexity,open-redirect,cross-site-inclusion,command-execution,directory-transversal,symlink-attack,
,,,,,,,,,,,3,3,1,4,1,6,2,1,2,4,1,1,1,2,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,dos,buffer-overflow,null pointer dereference,code-execution,csrf,xss,user-impersonation,cleartext-storage,inefficient-regex-complexity,open-redirect,cross-site-inclusion,command-execution,directory-transversal,symlink-attack,
,,,,,,,,,,2021,2,2,1,0,0,2,0,0,2,0,0,0,0,0,
,,,,,,,,,,2020,0,0,0,1,1,0,0,0,0,3,0,1,0,0,
,,,,,,,,,,2019,0,0,0,1,0,0,0,1,0,1,1,0,1,0,
,,,,,,,,,,2018,0,0,0,1,0,3,2,0,0,0,0,0,0,0,
,,,,,,,,,,2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,2015,0,1,0,1,0,1,0,0,0,0,0,0,0,0,
,,,,,,,,,,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
